name	                                                                         | type	              | in_shapes        | out_shapes	
vlm_with_expert.vlm.model.vision_model.encoder.layers.3.self_attn.q_proj         | Linear             | [(1, 1024, 768)] | [(1, 1024, 768)]
vlm_with_expert.vlm.model.vision_model.encoder.layers.3.self_attn.k_proj         | Linear             | [(1, 1024, 768)] | [(1, 1024, 768)]
vlm_with_expert.vlm.model.vision_model.encoder.layers.3.self_attn.v_proj         | Linear             | [(1, 1024, 768)] | [(1, 1024, 768)]
vlm_with_expert.vlm.model.vision_model.encoder.layers.3.self_attn.out_proj       | Linear             | [(1, 1024, 768)] | [(1, 1024, 768)]
vlm_with_expert.vlm.model.vision_model.encoder.layers.3.mlp.fc1                  | Linear             | [(1, 1024, 768)] | [(1, 1024, 3072)]
vlm_with_expert.vlm.model.vision_model.encoder.layers.3.mlp.fc2                  | Linear             | [(1, 1024, 3072)] | [(1, 1024, 768)]
vlm_with_expert.vlm.model.vision_model.encoder.layers.4.self_attn.q_proj         | Linear             | [(1, 1024, 768)] | [(1, 1024, 768)]
vlm_with_expert.vlm.model.vision_model.encoder.layers.4.self_attn.k_proj         | Linear             | [(1, 1024, 768)] | [(1, 1024, 768)]
vlm_with_expert.vlm.model.vision_model.encoder.layers.4.self_attn.v_proj         | Linear             | [(1, 1024, 768)] | [(1, 1024, 768)]
vlm_with_expert.vlm.model.vision_model.encoder.layers.4.self_attn.out_proj       | Linear             | [(1, 1024, 768)] | [(1, 1024, 768)]
vlm_with_expert.vlm.model.vision_model.encoder.layers.4.mlp.fc1                  | Linear             | [(1, 1024, 768)] | [(1, 1024, 3072)]
vlm_with_expert.vlm.model.vision_model.encoder.layers.4.mlp.fc2                  | Linear             | [(1, 1024, 3072)] | [(1, 1024, 768)]
vlm_with_expert.vlm.model.vision_model.encoder.layers.5.self_attn.q_proj         | Linear             | [(1, 1024, 768)] | [(1, 1024, 768)]
vlm_with_expert.vlm.model.vision_model.encoder.layers.5.self_attn.k_proj         | Linear             | [(1, 1024, 768)] | [(1, 1024, 768)]
vlm_with_expert.vlm.model.vision_model.encoder.layers.5.self_attn.v_proj         | Linear             | [(1, 1024, 768)] | [(1, 1024, 768)]
vlm_with_expert.vlm.model.vision_model.encoder.layers.5.self_attn.out_proj       | Linear             | [(1, 1024, 768)] | [(1, 1024, 768)]
vlm_with_expert.vlm.model.vision_model.encoder.layers.5.mlp.fc1                  | Linear             | [(1, 1024, 768)] | [(1, 1024, 3072)]
vlm_with_expert.vlm.model.vision_model.encoder.layers.5.mlp.fc2                  | Linear             | [(1, 1024, 3072)] | [(1, 1024, 768)]
vlm_with_expert.vlm.model.vision_model.encoder.layers.6.self_attn.q_proj         | Linear             | [(1, 1024, 768)] | [(1, 1024, 768)]
vlm_with_expert.vlm.model.vision_model.encoder.layers.6.self_attn.k_proj         | Linear             | [(1, 1024, 768)] | [(1, 1024, 768)]
vlm_with_expert.vlm.model.vision_model.encoder.layers.6.self_attn.v_proj         | Linear             | [(1, 1024, 768)] | [(1, 1024, 768)]
vlm_with_expert.vlm.model.vision_model.encoder.layers.6.self_attn.out_proj       | Linear             | [(1, 1024, 768)] | [(1, 1024, 768)]
vlm_with_expert.vlm.model.vision_model.encoder.layers.6.mlp.fc1                  | Linear             | [(1, 1024, 768)] | [(1, 1024, 3072)]
vlm_with_expert.vlm.model.vision_model.encoder.layers.6.mlp.fc2                  | Linear             | [(1, 1024, 3072)] | [(1, 1024, 768)]
vlm_with_expert.vlm.model.vision_model.encoder.layers.7.self_attn.q_proj         | Linear             | [(1, 1024, 768)] | [(1, 1024, 768)]
vlm_with_expert.vlm.model.vision_model.encoder.layers.7.self_attn.k_proj         | Linear             | [(1, 1024, 768)] | [(1, 1024, 768)]
vlm_with_expert.vlm.model.vision_model.encoder.layers.7.self_attn.v_proj         | Linear             | [(1, 1024, 768)] | [(1, 1024, 768)]
vlm_with_expert.vlm.model.vision_model.encoder.layers.7.self_attn.out_proj       | Linear             | [(1, 1024, 768)] | [(1, 1024, 768)]
vlm_with_expert.vlm.model.vision_model.encoder.layers.7.mlp.fc1                  | Linear             | [(1, 1024, 768)] | [(1, 1024, 3072)]
vlm_with_expert.vlm.model.vision_model.encoder.layers.7.mlp.fc2                  | Linear             | [(1, 1024, 3072)] | [(1, 1024, 768)]
vlm_with_expert.vlm.model.vision_model.encoder.layers.8.self_attn.q_proj         | Linear             | [(1, 1024, 768)] | [(1, 1024, 768)]
vlm_with_expert.vlm.model.vision_model.encoder.layers.8.self_attn.k_proj         | Linear             | [(1, 1024, 768)] | [(1, 1024, 768)]
vlm_with_expert.vlm.model.vision_model.encoder.layers.8.self_attn.v_proj         | Linear             | [(1, 1024, 768)] | [(1, 1024, 768)]
vlm_with_expert.vlm.model.vision_model.encoder.layers.8.self_attn.out_proj       | Linear             | [(1, 1024, 768)] | [(1, 1024, 768)]
vlm_with_expert.vlm.model.vision_model.encoder.layers.8.mlp.fc1                  | Linear             | [(1, 1024, 768)] | [(1, 1024, 3072)]
vlm_with_expert.vlm.model.vision_model.encoder.layers.8.mlp.fc2                  | Linear             | [(1, 1024, 3072)] | [(1, 1024, 768)]
vlm_with_expert.vlm.model.vision_model.encoder.layers.9.self_attn.q_proj         | Linear             | [(1, 1024, 768)] | [(1, 1024, 768)]
vlm_with_expert.vlm.model.vision_model.encoder.layers.9.self_attn.k_proj         | Linear             | [(1, 1024, 768)] | [(1, 1024, 768)]
vlm_with_expert.vlm.model.vision_model.encoder.layers.9.self_attn.v_proj         | Linear             | [(1, 1024, 768)] | [(1, 1024, 768)]
vlm_with_expert.vlm.model.vision_model.encoder.layers.9.self_attn.out_proj       | Linear             | [(1, 1024, 768)] | [(1, 1024, 768)]
vlm_with_expert.vlm.model.vision_model.encoder.layers.9.mlp.fc1                  | Linear             | [(1, 1024, 768)] | [(1, 1024, 3072)]
vlm_with_expert.vlm.model.vision_model.encoder.layers.9.mlp.fc2                  | Linear             | [(1, 1024, 3072)] | [(1, 1024, 768)]
vlm_with_expert.vlm.model.vision_model.encoder.layers.10.self_attn.q_proj        | Linear             | [(1, 1024, 768)] | [(1, 1024, 768)]
vlm_with_expert.vlm.model.vision_model.encoder.layers.10.self_attn.k_proj        | Linear             | [(1, 1024, 768)] | [(1, 1024, 768)]
vlm_with_expert.vlm.model.vision_model.encoder.layers.10.self_attn.v_proj        | Linear             | [(1, 1024, 768)] | [(1, 1024, 768)]
vlm_with_expert.vlm.model.vision_model.encoder.layers.10.self_attn.out_proj      | Linear             | [(1, 1024, 768)] | [(1, 1024, 768)]
vlm_with_expert.vlm.model.vision_model.encoder.layers.10.mlp.fc1                 | Linear             | [(1, 1024, 768)] | [(1, 1024, 3072)]
vlm_with_expert.vlm.model.vision_model.encoder.layers.10.mlp.fc2                 | Linear             | [(1, 1024, 3072)] | [(1, 1024, 768)]
vlm_with_expert.vlm.model.vision_model.encoder.layers.11.self_attn.q_proj        | Linear             | [(1, 1024, 768)] | [(1, 1024, 768)]
vlm_with_expert.vlm.model.vision_model.encoder.layers.11.self_attn.k_proj        | Linear             | [(1, 1024, 768)] | [(1, 1024, 768)]
vlm_with_expert.vlm.model.vision_model.encoder.layers.11.self_attn.v_proj        | Linear             | [(1, 1024, 768)] | [(1, 1024, 768)]
vlm_with_expert.vlm.model.vision_model.encoder.layers.11.self_attn.out_proj      | Linear             | [(1, 1024, 768)] | [(1, 1024, 768)]
vlm_with_expert.vlm.model.vision_model.encoder.layers.11.mlp.fc1                 | Linear             | [(1, 1024, 768)] | [(1, 1024, 3072)]
vlm_with_expert.vlm.model.vision_model.encoder.layers.11.mlp.fc2                 | Linear             | [(1, 1024, 3072)] | [(1, 1024, 768)]
vlm_with_expert.vlm.model.connector.modality_projection.proj                     | Linear             | [(1, 64, 12288)] | [(1, 64, 960)]
vlm_with_expert.vlm.model.vision_model.encoder.layers.0.self_attn.q_proj         | Linear             | [(1, 1024, 768)] | [(1, 1024, 768)]
vlm_with_expert.vlm.model.vision_model.encoder.layers.0.self_attn.k_proj         | Linear             | [(1, 1024, 768)] | [(1, 1024, 768)]
vlm_with_expert.vlm.model.vision_model.encoder.layers.0.self_attn.v_proj         | Linear             | [(1, 1024, 768)] | [(1, 1024, 768)]
vlm_with_expert.vlm.model.vision_model.encoder.layers.0.self_attn.out_proj       | Linear             | [(1, 1024, 768)] | [(1, 1024, 768)]
vlm_with_expert.vlm.model.vision_model.encoder.layers.0.mlp.fc1                  | Linear             | [(1, 1024, 768)] | [(1, 1024, 3072)]
vlm_with_expert.vlm.model.vision_model.encoder.layers.0.mlp.fc2                  | Linear             | [(1, 1024, 3072)] | [(1, 1024, 768)]
vlm_with_expert.vlm.model.vision_model.encoder.layers.1.self_attn.q_proj         | Linear             | [(1, 1024, 768)] | [(1, 1024, 768)]
vlm_with_expert.vlm.model.vision_model.encoder.layers.1.self_attn.k_proj         | Linear             | [(1, 1024, 768)] | [(1, 1024, 768)]
vlm_with_expert.vlm.model.vision_model.encoder.layers.1.self_attn.v_proj         | Linear             | [(1, 1024, 768)] | [(1, 1024, 768)]
vlm_with_expert.vlm.model.vision_model.encoder.layers.1.self_attn.out_proj       | Linear             | [(1, 1024, 768)] | [(1, 1024, 768)]
vlm_with_expert.vlm.model.vision_model.encoder.layers.1.mlp.fc1                  | Linear             | [(1, 1024, 768)] | [(1, 1024, 3072)]
vlm_with_expert.vlm.model.vision_model.encoder.layers.1.mlp.fc2                  | Linear             | [(1, 1024, 3072)] | [(1, 1024, 768)]
vlm_with_expert.vlm.model.vision_model.encoder.layers.2.self_attn.q_proj         | Linear             | [(1, 1024, 768)] | [(1, 1024, 768)]
vlm_with_expert.vlm.model.vision_model.encoder.layers.2.self_attn.k_proj         | Linear             | [(1, 1024, 768)] | [(1, 1024, 768)]
vlm_with_expert.vlm.model.vision_model.encoder.layers.2.self_attn.v_proj         | Linear             | [(1, 1024, 768)] | [(1, 1024, 768)]
vlm_with_expert.vlm.model.vision_model.encoder.layers.2.self_attn.out_proj       | Linear             | [(1, 1024, 768)] | [(1, 1024, 768)]
vlm_with_expert.vlm.model.vision_model.encoder.layers.2.mlp.fc1                  | Linear             | [(1, 1024, 768)] | [(1, 1024, 3072)]
vlm_with_expert.vlm.model.vision_model.encoder.layers.2.mlp.fc2                  | Linear             | [(1, 1024, 3072)] | [(1, 1024, 768)]
vlm_with_expert.vlm.model.vision_model.encoder.layers.3.self_attn.q_proj         | Linear             | [(1, 1024, 768)] | [(1, 1024, 768)]
vlm_with_expert.vlm.model.vision_model.encoder.layers.3.self_attn.k_proj         | Linear             | [(1, 1024, 768)] | [(1, 1024, 768)]
vlm_with_expert.vlm.model.vision_model.encoder.layers.3.self_attn.v_proj         | Linear             | [(1, 1024, 768)] | [(1, 1024, 768)]
vlm_with_expert.vlm.model.vision_model.encoder.layers.3.self_attn.out_proj       | Linear             | [(1, 1024, 768)] | [(1, 1024, 768)]
vlm_with_expert.vlm.model.vision_model.encoder.layers.3.mlp.fc1                  | Linear             | [(1, 1024, 768)] | [(1, 1024, 3072)]
vlm_with_expert.vlm.model.vision_model.encoder.layers.3.mlp.fc2                  | Linear             | [(1, 1024, 3072)] | [(1, 1024, 768)]
vlm_with_expert.vlm.model.vision_model.encoder.layers.4.self_attn.q_proj         | Linear             | [(1, 1024, 768)] | [(1, 1024, 768)]
vlm_with_expert.vlm.model.vision_model.encoder.layers.4.self_attn.k_proj         | Linear             | [(1, 1024, 768)] | [(1, 1024, 768)]
vlm_with_expert.vlm.model.vision_model.encoder.layers.4.self_attn.v_proj         | Linear             | [(1, 1024, 768)] | [(1, 1024, 768)]
vlm_with_expert.vlm.model.vision_model.encoder.layers.4.self_attn.out_proj       | Linear             | [(1, 1024, 768)] | [(1, 1024, 768)]
vlm_with_expert.vlm.model.vision_model.encoder.layers.4.mlp.fc1                  | Linear             | [(1, 1024, 768)] | [(1, 1024, 3072)]
vlm_with_expert.vlm.model.vision_model.encoder.layers.4.mlp.fc2                  | Linear             | [(1, 1024, 3072)] | [(1, 1024, 768)]
vlm_with_expert.vlm.model.vision_model.encoder.layers.5.self_attn.q_proj         | Linear             | [(1, 1024, 768)] | [(1, 1024, 768)]
vlm_with_expert.vlm.model.vision_model.encoder.layers.5.self_attn.k_proj         | Linear             | [(1, 1024, 768)] | [(1, 1024, 768)]
vlm_with_expert.vlm.model.vision_model.encoder.layers.5.self_attn.v_proj         | Linear             | [(1, 1024, 768)] | [(1, 1024, 768)]
vlm_with_expert.vlm.model.vision_model.encoder.layers.5.self_attn.out_proj       | Linear             | [(1, 1024, 768)] | [(1, 1024, 768)]
vlm_with_expert.vlm.model.vision_model.encoder.layers.5.mlp.fc1                  | Linear             | [(1, 1024, 768)] | [(1, 1024, 3072)]
vlm_with_expert.vlm.model.vision_model.encoder.layers.5.mlp.fc2                  | Linear             | [(1, 1024, 3072)] | [(1, 1024, 768)]
vlm_with_expert.vlm.model.vision_model.encoder.layers.6.self_attn.q_proj         | Linear             | [(1, 1024, 768)] | [(1, 1024, 768)]
vlm_with_expert.vlm.model.vision_model.encoder.layers.6.self_attn.k_proj         | Linear             | [(1, 1024, 768)] | [(1, 1024, 768)]
vlm_with_expert.vlm.model.vision_model.encoder.layers.6.self_attn.v_proj         | Linear             | [(1, 1024, 768)] | [(1, 1024, 768)]
vlm_with_expert.vlm.model.vision_model.encoder.layers.6.self_attn.out_proj       | Linear             | [(1, 1024, 768)] | [(1, 1024, 768)]
vlm_with_expert.vlm.model.vision_model.encoder.layers.6.mlp.fc1                  | Linear             | [(1, 1024, 768)] | [(1, 1024, 3072)]
vlm_with_expert.vlm.model.vision_model.encoder.layers.6.mlp.fc2                  | Linear             | [(1, 1024, 3072)] | [(1, 1024, 768)]
vlm_with_expert.vlm.model.vision_model.encoder.layers.7.self_attn.q_proj         | Linear             | [(1, 1024, 768)] | [(1, 1024, 768)]
vlm_with_expert.vlm.model.vision_model.encoder.layers.7.self_attn.k_proj         | Linear             | [(1, 1024, 768)] | [(1, 1024, 768)]
vlm_with_expert.vlm.model.vision_model.encoder.layers.7.self_attn.v_proj         | Linear             | [(1, 1024, 768)] | [(1, 1024, 768)]
vlm_with_expert.vlm.model.vision_model.encoder.layers.7.self_attn.out_proj       | Linear             | [(1, 1024, 768)] | [(1, 1024, 768)]
vlm_with_expert.vlm.model.vision_model.encoder.layers.7.mlp.fc1                  | Linear             | [(1, 1024, 768)] | [(1, 1024, 3072)]
vlm_with_expert.vlm.model.vision_model.encoder.layers.7.mlp.fc2                  | Linear             | [(1, 1024, 3072)] | [(1, 1024, 768)]
vlm_with_expert.vlm.model.vision_model.encoder.layers.8.self_attn.q_proj         | Linear             | [(1, 1024, 768)] | [(1, 1024, 768)]
vlm_with_expert.vlm.model.vision_model.encoder.layers.8.self_attn.k_proj         | Linear             | [(1, 1024, 768)] | [(1, 1024, 768)]
vlm_with_expert.vlm.model.vision_model.encoder.layers.8.self_attn.v_proj         | Linear             | [(1, 1024, 768)] | [(1, 1024, 768)]
vlm_with_expert.vlm.model.vision_model.encoder.layers.8.self_attn.out_proj       | Linear             | [(1, 1024, 768)] | [(1, 1024, 768)]
vlm_with_expert.vlm.model.vision_model.encoder.layers.8.mlp.fc1                  | Linear             | [(1, 1024, 768)] | [(1, 1024, 3072)]
vlm_with_expert.vlm.model.vision_model.encoder.layers.8.mlp.fc2                  | Linear             | [(1, 1024, 3072)] | [(1, 1024, 768)]
vlm_with_expert.vlm.model.vision_model.encoder.layers.9.self_attn.q_proj         | Linear             | [(1, 1024, 768)] | [(1, 1024, 768)]
vlm_with_expert.vlm.model.vision_model.encoder.layers.9.self_attn.k_proj         | Linear             | [(1, 1024, 768)] | [(1, 1024, 768)]
vlm_with_expert.vlm.model.vision_model.encoder.layers.9.self_attn.v_proj         | Linear             | [(1, 1024, 768)] | [(1, 1024, 768)]
vlm_with_expert.vlm.model.vision_model.encoder.layers.9.self_attn.out_proj       | Linear             | [(1, 1024, 768)] | [(1, 1024, 768)]
vlm_with_expert.vlm.model.vision_model.encoder.layers.9.mlp.fc1                  | Linear             | [(1, 1024, 768)] | [(1, 1024, 3072)]
vlm_with_expert.vlm.model.vision_model.encoder.layers.9.mlp.fc2                  | Linear             | [(1, 1024, 3072)] | [(1, 1024, 768)]
vlm_with_expert.vlm.model.vision_model.encoder.layers.10.self_attn.q_proj        | Linear             | [(1, 1024, 768)] | [(1, 1024, 768)]
vlm_with_expert.vlm.model.vision_model.encoder.layers.10.self_attn.k_proj        | Linear             | [(1, 1024, 768)] | [(1, 1024, 768)]
vlm_with_expert.vlm.model.vision_model.encoder.layers.10.self_attn.v_proj        | Linear             | [(1, 1024, 768)] | [(1, 1024, 768)]
vlm_with_expert.vlm.model.vision_model.encoder.layers.10.self_attn.out_proj      | Linear             | [(1, 1024, 768)] | [(1, 1024, 768)]
vlm_with_expert.vlm.model.vision_model.encoder.layers.10.mlp.fc1                 | Linear             | [(1, 1024, 768)] | [(1, 1024, 3072)]
vlm_with_expert.vlm.model.vision_model.encoder.layers.10.mlp.fc2                 | Linear             | [(1, 1024, 3072)] | [(1, 1024, 768)]
vlm_with_expert.vlm.model.vision_model.encoder.layers.11.self_attn.q_proj        | Linear             | [(1, 1024, 768)] | [(1, 1024, 768)]
vlm_with_expert.vlm.model.vision_model.encoder.layers.11.self_attn.k_proj        | Linear             | [(1, 1024, 768)] | [(1, 1024, 768)]
vlm_with_expert.vlm.model.vision_model.encoder.layers.11.self_attn.v_proj        | Linear             | [(1, 1024, 768)] | [(1, 1024, 768)]
vlm_with_expert.vlm.model.vision_model.encoder.layers.11.self_attn.out_proj      | Linear             | [(1, 1024, 768)] | [(1, 1024, 768)]
vlm_with_expert.vlm.model.vision_model.encoder.layers.11.mlp.fc1                 | Linear             | [(1, 1024, 768)] | [(1, 1024, 3072)]
vlm_with_expert.vlm.model.vision_model.encoder.layers.11.mlp.fc2                 | Linear             | [(1, 1024, 3072)] | [(1, 1024, 768)]
vlm_with_expert.vlm.model.connector.modality_projection.proj                     | Linear             | [(1, 64, 12288)] | [(1, 64, 960)]
vlm_with_expert.vlm.model.vision_model.encoder.layers.0.self_attn.q_proj         | Linear             | [(1, 1024, 768)] | [(1, 1024, 768)]
vlm_with_expert.vlm.model.vision_model.encoder.layers.0.self_attn.k_proj         | Linear             | [(1, 1024, 768)] | [(1, 1024, 768)]
vlm_with_expert.vlm.model.vision_model.encoder.layers.0.self_attn.v_proj         | Linear             | [(1, 1024, 768)] | [(1, 1024, 768)]
vlm_with_expert.vlm.model.vision_model.encoder.layers.0.self_attn.out_proj       | Linear             | [(1, 1024, 768)] | [(1, 1024, 768)]
vlm_with_expert.vlm.model.vision_model.encoder.layers.0.mlp.fc1                  | Linear             | [(1, 1024, 768)] | [(1, 1024, 3072)]
vlm_with_expert.vlm.model.vision_model.encoder.layers.0.mlp.fc2                  | Linear             | [(1, 1024, 3072)] | [(1, 1024, 768)]
vlm_with_expert.vlm.model.vision_model.encoder.layers.1.self_attn.q_proj         | Linear             | [(1, 1024, 768)] | [(1, 1024, 768)]
vlm_with_expert.vlm.model.vision_model.encoder.layers.1.self_attn.k_proj         | Linear             | [(1, 1024, 768)] | [(1, 1024, 768)]
vlm_with_expert.vlm.model.vision_model.encoder.layers.1.self_attn.v_proj         | Linear             | [(1, 1024, 768)] | [(1, 1024, 768)]
vlm_with_expert.vlm.model.vision_model.encoder.layers.1.self_attn.out_proj       | Linear             | [(1, 1024, 768)] | [(1, 1024, 768)]
vlm_with_expert.vlm.model.vision_model.encoder.layers.1.mlp.fc1                  | Linear             | [(1, 1024, 768)] | [(1, 1024, 3072)]
vlm_with_expert.vlm.model.vision_model.encoder.layers.1.mlp.fc2                  | Linear             | [(1, 1024, 3072)] | [(1, 1024, 768)]
vlm_with_expert.vlm.model.vision_model.encoder.layers.2.self_attn.q_proj         | Linear             | [(1, 1024, 768)] | [(1, 1024, 768)]
vlm_with_expert.vlm.model.vision_model.encoder.layers.2.self_attn.k_proj         | Linear             | [(1, 1024, 768)] | [(1, 1024, 768)]
vlm_with_expert.vlm.model.vision_model.encoder.layers.2.self_attn.v_proj         | Linear             | [(1, 1024, 768)] | [(1, 1024, 768)]
vlm_with_expert.vlm.model.vision_model.encoder.layers.2.self_attn.out_proj       | Linear             | [(1, 1024, 768)] | [(1, 1024, 768)]
vlm_with_expert.vlm.model.vision_model.encoder.layers.2.mlp.fc1                  | Linear             | [(1, 1024, 768)] | [(1, 1024, 3072)]
vlm_with_expert.vlm.model.vision_model.encoder.layers.2.mlp.fc2                  | Linear             | [(1, 1024, 3072)] | [(1, 1024, 768)]
vlm_with_expert.vlm.model.vision_model.encoder.layers.3.self_attn.q_proj         | Linear             | [(1, 1024, 768)] | [(1, 1024, 768)]
vlm_with_expert.vlm.model.vision_model.encoder.layers.3.self_attn.k_proj         | Linear             | [(1, 1024, 768)] | [(1, 1024, 768)]
vlm_with_expert.vlm.model.vision_model.encoder.layers.3.self_attn.v_proj         | Linear             | [(1, 1024, 768)] | [(1, 1024, 768)]
vlm_with_expert.vlm.model.vision_model.encoder.layers.3.self_attn.out_proj       | Linear             | [(1, 1024, 768)] | [(1, 1024, 768)]
vlm_with_expert.vlm.model.vision_model.encoder.layers.3.mlp.fc1                  | Linear             | [(1, 1024, 768)] | [(1, 1024, 3072)]
vlm_with_expert.vlm.model.vision_model.encoder.layers.3.mlp.fc2                  | Linear             | [(1, 1024, 3072)] | [(1, 1024, 768)]
vlm_with_expert.vlm.model.vision_model.encoder.layers.4.self_attn.q_proj         | Linear             | [(1, 1024, 768)] | [(1, 1024, 768)]
vlm_with_expert.vlm.model.vision_model.encoder.layers.4.self_attn.k_proj         | Linear             | [(1, 1024, 768)] | [(1, 1024, 768)]
vlm_with_expert.vlm.model.vision_model.encoder.layers.4.self_attn.v_proj         | Linear             | [(1, 1024, 768)] | [(1, 1024, 768)]
vlm_with_expert.vlm.model.vision_model.encoder.layers.4.self_attn.out_proj       | Linear             | [(1, 1024, 768)] | [(1, 1024, 768)]
vlm_with_expert.vlm.model.vision_model.encoder.layers.4.mlp.fc1                  | Linear             | [(1, 1024, 768)] | [(1, 1024, 3072)]
vlm_with_expert.vlm.model.vision_model.encoder.layers.4.mlp.fc2                  | Linear             | [(1, 1024, 3072)] | [(1, 1024, 768)]
vlm_with_expert.vlm.model.vision_model.encoder.layers.5.self_attn.q_proj         | Linear             | [(1, 1024, 768)] | [(1, 1024, 768)]
vlm_with_expert.vlm.model.vision_model.encoder.layers.5.self_attn.k_proj         | Linear             | [(1, 1024, 768)] | [(1, 1024, 768)]
vlm_with_expert.vlm.model.vision_model.encoder.layers.5.self_attn.v_proj         | Linear             | [(1, 1024, 768)] | [(1, 1024, 768)]
vlm_with_expert.vlm.model.vision_model.encoder.layers.5.self_attn.out_proj       | Linear             | [(1, 1024, 768)] | [(1, 1024, 768)]
vlm_with_expert.vlm.model.vision_model.encoder.layers.5.mlp.fc1                  | Linear             | [(1, 1024, 768)] | [(1, 1024, 3072)]
vlm_with_expert.vlm.model.vision_model.encoder.layers.5.mlp.fc2                  | Linear             | [(1, 1024, 3072)] | [(1, 1024, 768)]
vlm_with_expert.vlm.model.vision_model.encoder.layers.6.self_attn.q_proj         | Linear             | [(1, 1024, 768)] | [(1, 1024, 768)]
vlm_with_expert.vlm.model.vision_model.encoder.layers.6.self_attn.k_proj         | Linear             | [(1, 1024, 768)] | [(1, 1024, 768)]
vlm_with_expert.vlm.model.vision_model.encoder.layers.6.self_attn.v_proj         | Linear             | [(1, 1024, 768)] | [(1, 1024, 768)]
vlm_with_expert.vlm.model.vision_model.encoder.layers.6.self_attn.out_proj       | Linear             | [(1, 1024, 768)] | [(1, 1024, 768)]
vlm_with_expert.vlm.model.vision_model.encoder.layers.6.mlp.fc1                  | Linear             | [(1, 1024, 768)] | [(1, 1024, 3072)]
vlm_with_expert.vlm.model.vision_model.encoder.layers.6.mlp.fc2                  | Linear             | [(1, 1024, 3072)] | [(1, 1024, 768)]
vlm_with_expert.vlm.model.vision_model.encoder.layers.7.self_attn.q_proj         | Linear             | [(1, 1024, 768)] | [(1, 1024, 768)]
vlm_with_expert.vlm.model.vision_model.encoder.layers.7.self_attn.k_proj         | Linear             | [(1, 1024, 768)] | [(1, 1024, 768)]
vlm_with_expert.vlm.model.vision_model.encoder.layers.7.self_attn.v_proj         | Linear             | [(1, 1024, 768)] | [(1, 1024, 768)]
vlm_with_expert.vlm.model.vision_model.encoder.layers.7.self_attn.out_proj       | Linear             | [(1, 1024, 768)] | [(1, 1024, 768)]
vlm_with_expert.vlm.model.vision_model.encoder.layers.7.mlp.fc1                  | Linear             | [(1, 1024, 768)] | [(1, 1024, 3072)]
vlm_with_expert.vlm.model.vision_model.encoder.layers.7.mlp.fc2                  | Linear             | [(1, 1024, 3072)] | [(1, 1024, 768)]
vlm_with_expert.vlm.model.vision_model.encoder.layers.8.self_attn.q_proj         | Linear             | [(1, 1024, 768)] | [(1, 1024, 768)]
vlm_with_expert.vlm.model.vision_model.encoder.layers.8.self_attn.k_proj         | Linear             | [(1, 1024, 768)] | [(1, 1024, 768)]
vlm_with_expert.vlm.model.vision_model.encoder.layers.8.self_attn.v_proj         | Linear             | [(1, 1024, 768)] | [(1, 1024, 768)]
